ダウンロードした時刻：2023/02/19 20:16:14

,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2020/1/1,5.3,8,1,0.0,0,8,1,8.50,8,1,0,1,8,1,3.3,8,1,5.3,8,1,0,1,8,1,1017.9,8,1,5.1,0,8,1
2020/1/2,7.6,8,1,0.0,0,8,1,9.33,8,1,0,1,8,1,2.6,8,1,8.8,8,1,0,1,8,1,1016.7,8,1,4.9,0,8,1
2020/1/3,8.1,8,1,0.0,0,8,1,6.34,8,1,0,1,8,1,2.6,8,1,7.0,8,1,0,1,8,1,1012.7,8,1,3.0,0,8,1
2020/1/4,7.7,8,1,0.0,0,8,1,8.11,8,1,0,1,8,1,3.2,8,1,10.0,8,1,0,1,8,1,1009.8,8,1,3.0,0,8,1
2020/1/5,5.8,8,1,0,1,8,1,12.99,8,1,0,1,8,1,5.2,8,1,0.8,8,1,0,1,8,1,1017.5,8,1,9.3,0,8,1
2020/1/6,6.1,8,1,0,1,8,1,12.21,8,1,0,1,8,1,2.9,8,1,5.0,8,1,0,1,8,1,1019.9,8,1,7.6,0,8,1
2020/1/7,5.6,8,1,11.5,0,8,1,3.02,8,1,0,1,8,1,1.9,8,1,8.3,8,1,0,1,8,1,1016.2,8,1,0.0,0,8,1
2020/1/8,10.6,8,1,22.0,0,8,1,6.95,8,1,0,1,8,1,4.2,8,1,8.5,8,1,0,1,8,1,999.4,8,1,3.4,0,8,1
2020/1/9,10.0,8,1,0.0,0,8,1,12.64,8,1,0,1,8,1,5.0,8,1,3.8,8,1,0,1,8,1,1006.7,8,1,8.6,0,8,1
2020/1/10,8.6,8,1,0.0,0,8,1,12.56,8,1,0,1,8,1,3.9,8,1,2.8,8,1,0,1,8,1,1009.9,8,1,9.2,0,8,1
2020/1/11,6.8,8,1,0,1,8,1,11.76,8,1,0,1,8,1,1.7,8,1,3.5,8,1,0,1,8,1,1009.2,8,1,7.5,0,8,1
2020/1/12,6.2,8,1,0,1,8,1,4.79,8,1,0,1,8,1,1.3,8,1,7.3,8,1,0,1,8,1,1004.8,8,1,0.5,0,8,1
2020/1/13,8.0,8,1,0.0,0,8,1,10.24,8,1,0,1,8,1,3.2,8,1,6.0,8,1,0,1,8,1,1008.2,8,1,5.9,0,8,1
2020/1/14,6.7,8,1,1.0,0,8,1,9.53,8,1,0,1,8,1,1.8,8,1,8.0,8,1,0,1,8,1,1014.5,8,1,5.9,0,8,1
2020/1/15,6.9,8,1,0.5,0,8,1,12.24,8,1,0,1,8,1,3.4,8,1,2.8,8,1,0,1,8,1,1012.4,8,1,8.7,0,8,1
2020/1/16,4.7,8,1,0,1,8,1,5.08,8,1,0,1,8,1,1.8,8,1,8.0,8,1,0,1,8,1,1015.6,8,1,1.3,0,8,1
2020/1/17,5.9,8,1,0.0,0,8,1,4.70,8,1,0,1,8,1,1.8,8,1,10.0,8,1,0,1,8,1,1011.1,8,1,0.2,0,8,1
2020/1/18,7.7,8,1,0.0,0,8,1,12.06,8,1,0,1,8,1,3.4,8,1,8.0,8,1,0,1,8,1,1004.9,8,1,6.8,0,8,1
2020/1/19,7.6,8,1,0.0,0,8,1,11.31,8,1,0,1,8,1,2.2,8,1,5.3,8,1,0,1,8,1,1008.7,8,1,6.7,0,8,1
2020/1/20,7.5,8,1,0,1,8,1,10.21,8,1,0,1,8,1,2.9,8,1,1.3,8,1,0,1,8,1,1009.7,8,1,6.3,0,8,1
2020/1/21,6.8,8,1,0.0,0,8,1,13.01,8,1,0,1,8,1,4.8,8,1,3.8,8,1,0,1,8,1,1016.9,8,1,8.3,0,8,1
2020/1/22,6.6,8,1,0.0,0,8,1,7.79,8,1,0,1,8,1,1.8,8,1,8.8,8,1,0,1,8,1,1021.3,8,1,2.3,0,8,1
2020/1/23,8.4,8,1,11.0,0,8,1,1.53,8,1,0,1,8,1,2.2,8,1,9.0,8,1,0,1,8,1,1014.0,8,1,0.0,0,8,1
2020/1/24,10.4,8,1,0,1,8,1,8.31,8,1,0,1,8,1,3.8,8,1,9.3,8,1,0,1,8,1,1016.6,8,1,2.9,0,8,1
2020/1/25,7.9,8,1,0.0,0,8,1,10.07,8,1,0,1,8,1,3.1,8,1,10.0,8,1,0,1,8,1,1019.8,8,1,3.0,0,8,1
2020/1/26,9.0,8,1,0.0,0,8,1,7.81,8,1,0,1,8,1,1.5,8,1,10.0,8,1,0,1,8,1,1017.5,8,1,2.1,0,8,1
2020/1/27,7.7,8,1,1.0,0,8,1,3.30,8,1,0,1,8,1,1.8,8,1,10.0,8,1,0,1,8,1,1013.0,8,1,0.1,0,8,1
2020/1/28,9.7,8,1,5.0,0,8,1,6.42,8,1,0,1,8,1,2.4,8,1,9.0,8,1,0,1,8,1,1003.1,8,1,1.2,0,8,1
2020/1/29,11.3,8,1,3.5,0,8,1,11.14,8,1,0,1,8,1,4.2,8,1,7.3,8,1,0,1,8,1,999.3,8,1,6.2,0,8,1
2020/1/30,8.5,8,1,0,1,8,1,11.51,8,1,0,1,8,1,5.2,8,1,2.3,8,1,0,1,8,1,998.1,8,1,6.8,0,8,1
2020/1/31,6.2,8,1,0,1,8,1,15.62,8,1,0,1,8,1,6.2,8,1,0.5,8,1,0,1,8,1,1002.8,8,1,9.8,0,8,1
2020/2/1,6.0,8,1,0,1,8,1,15.44,8,1,0,1,8,1,4.7,8,1,2.8,8,1,0,1,8,1,1011.5,8,1,9.0,0,8,1
2020/2/2,6.6,8,1,0,1,8,1,15.33,8,1,0,1,8,1,2.4,8,1,4.0,8,1,0,1,8,1,1015.8,8,1,10.1,0,8,1
2020/2/3,6.9,8,1,0.0,0,8,1,10.28,8,1,0,1,8,1,2.6,8,1,7.5,8,1,0,1,8,1,1014.1,8,1,5.4,0,8,1
2020/2/4,7.7,8,1,0,1,8,1,16.11,8,1,0,1,8,1,3.6,8,1,0.5,8,1,0,1,8,1,1015.2,8,1,10.2,0,8,1
2020/2/5,5.0,8,1,0.0,0,8,1,15.06,8,1,0,1,8,1,3.8,8,1,1.8,8,1,0,1,8,1,1011.2,8,1,8.4,0,8,1
2020/2/6,2.3,8,1,0,1,8,1,15.91,8,1,0,1,8,1,5.5,8,1,1.3,8,1,0,1,8,1,1019.1,8,1,9.6,0,8,1
2020/2/7,2.8,8,1,0,1,8,1,14.48,8,1,0,1,8,1,2.3,8,1,7.3,8,1,0,1,8,1,1019.8,8,1,8.6,0,8,1
2020/2/8,6.1,8,1,0,1,8,1,15.71,8,1,0,1,8,1,3.9,8,1,4.5,8,1,0,1,8,1,1009.3,8,1,9.6,0,8,1
2020/2/9,3.6,8,1,0,1,8,1,17.04,8,1,0,1,8,1,6.0,8,1,0.0,8,1,0,1,8,1,1012.1,8,1,10.3,0,8,1
2020/2/10,2.5,8,1,0.0,0,8,1,10.91,8,1,0,1,8,1,2.7,8,1,8.8,8,1,0,1,8,1,1011.8,8,1,4.3,0,8,1
2020/2/11,5.9,8,1,0,1,8,1,16.89,8,1,0,1,8,1,3.5,8,1,0.0,8,1,0,1,8,1,1020.4,8,1,10.1,0,8,1
2020/2/12,7.5,8,1,5.5,0,8,1,11.93,8,1,0,1,8,1,1.4,8,1,10.0,8,1,0,1,8,1,1019.9,8,1,4.1,0,8,1
2020/2/13,12.3,8,1,8.5,0,8,1,9.43,8,1,0,1,8,1,2.6,8,1,8.3,8,1,0,1,8,1,1010.4,8,1,2.4,0,8,1
2020/2/14,9.9,8,1,0.0,0,8,1,4.27,8,1,0,1,8,1,1.7,8,1,6.0,8,1,0,1,8,1,1012.9,8,1,0.1,0,8,1
2020/2/15,9.6,8,1,0,1,8,1,6.89,8,1,0,1,8,1,1.9,8,1,7.5,8,1,0,1,8,1,1014.2,8,1,1.5,0,8,1
2020/2/16,9.3,8,1,21.0,0,8,1,1.44,8,1,0,1,8,1,1.4,8,1,10.0,8,1,0,1,8,1,1002.0,8,1,0.0,0,8,1
2020/2/17,8.4,8,1,0.0,0,8,1,13.34,8,1,0,1,8,1,4.7,8,1,6.5,8,1,0,1,8,1,1001.0,8,1,5.8,0,8,1
2020/2/18,4.0,8,1,0.0,0,8,1,12.54,8,1,0,1,8,1,3.7,8,1,4.3,8,1,0,1,8,1,1010.4,8,1,4.8,0,8,1
2020/2/19,6.7,8,1,0,1,8,1,16.51,8,1,0,1,8,1,3.1,8,1,7.5,8,1,0,1,8,1,1019.8,8,1,10.1,0,8,1
2020/2/20,7.7,8,1,0,1,8,1,12.67,8,1,0,1,8,1,3.0,8,1,7.5,8,1,0,1,8,1,1023.0,8,1,6.6,0,8,1
2020/2/21,9.5,8,1,0,1,8,1,17.86,8,1,0,1,8,1,2.2,8,1,4.3,8,1,0,1,8,1,1026.7,8,1,9.9,0,8,1
2020/2/22,8.9,8,1,4.5,0,8,1,2.24,8,1,0,1,8,1,2.2,8,1,7.5,8,1,0,1,8,1,1016.1,8,1,0.2,0,8,1
2020/2/23,7.2,8,1,1.5,0,8,1,13.99,8,1,0,1,8,1,4.2,8,1,5.5,8,1,0,1,8,1,1015.8,8,1,5.7,0,8,1
2020/2/24,8.8,8,1,0,1,8,1,18.48,8,1,0,1,8,1,2.6,8,1,2.5,8,1,0,1,8,1,1017.6,8,1,10.4,0,8,1
2020/2/25,8.6,8,1,4.0,0,8,1,3.70,8,1,0,1,8,1,1.9,8,1,10.0,8,1,0,1,8,1,1012.5,8,1,0.8,0,8,1
2020/2/26,10.8,8,1,2.5,0,8,1,16.46,8,1,0,1,8,1,4.5,8,1,4.0,8,1,0,1,8,1,1007.2,8,1,8.2,0,8,1
2020/2/27,6.8,8,1,0,1,8,1,20.02,8,1,0,1,8,1,5.8,8,1,1.0,8,1,0,1,8,1,1013.7,8,1,10.9,0,8,1
2020/2/28,6.9,8,1,0,1,8,1,15.20,8,1,0,1,8,1,2.8,8,1,7.5,8,1,0,1,8,1,1017.1,8,1,7.1,0,8,1
2020/2/29,7.7,8,1,6.0,0,8,1,4.98,8,1,0,1,8,1,1.9,8,1,10.0,8,1,0,1,8,1,1011.7,8,1,0.0,0,8,1
2020/3/1,11.1,8,1,0,1,8,1,15.77,8,1,0,1,8,1,2.2,8,1,7.5,8,1,0,1,8,1,1008.9,8,1,8.9,0,8,1
2020/3/2,12.7,8,1,0.0,0,8,1,13.21,8,1,0,1,8,1,3.4,8,1,6.0,8,1,0,1,8,1,1008.8,8,1,4.5,0,8,1
2020/3/3,10.6,8,1,0,1,8,1,16.02,8,1,0,1,8,1,4.1,8,1,6.3,8,1,0,1,8,1,1014.8,8,1,8.6,0,8,1
2020/3/4,9.0,8,1,6.5,0,8,1,3.94,8,1,0,1,8,1,1.7,8,1,10.0,8,1,0,1,8,1,1010.8,8,1,0.0,0,8,1
2020/3/5,6.6,8,1,1.0,0,8,1,18.85,8,1,0,1,8,1,6.0,8,1,5.5,8,1,0,1,8,1,1006.7,8,1,8.0,0,8,1
2020/3/6,7.3,8,1,0,1,8,1,21.43,8,1,0,1,8,1,5.0,8,1,2.3,8,1,0,1,8,1,1013.1,8,1,11.3,0,8,1
2020/3/7,8.8,8,1,1.0,0,8,1,19.13,8,1,0,1,8,1,2.6,8,1,7.3,8,1,0,1,8,1,1014.3,8,1,8.0,0,8,1
2020/3/8,8.2,8,1,41.5,0,8,1,1.17,8,1,0,1,8,1,2.6,8,1,7.5,8,1,0,1,8,1,1008.6,8,1,0.1,0,8,1
2020/3/9,12.6,8,1,0,1,8,1,20.44,8,1,0,1,8,1,2.2,8,1,5.0,8,1,0,1,8,1,1008.7,8,1,10.3,0,8,1
2020/3/10,14.2,8,1,42.5,0,8,1,2.28,8,1,0,1,8,1,3.1,8,1,10.0,8,1,0,1,8,1,995.1,8,1,0.4,0,8,1
2020/3/11,11.9,8,1,0.0,0,8,1,17.97,8,1,0,1,8,1,5.5,8,1,5.5,8,1,0,1,8,1,1001.2,8,1,7.7,0,8,1
2020/3/12,10.3,8,1,0,1,8,1,22.11,8,1,0,1,8,1,3.0,8,1,0.5,8,1,0,1,8,1,1014.6,8,1,11.3,0,8,1
2020/3/13,11.4,8,1,0,1,8,1,16.97,8,1,0,1,8,1,2.2,8,1,6.8,8,1,0,1,8,1,1011.6,8,1,8.3,0,8,1
2020/3/14,8.5,8,1,7.0,0,8,1,4.72,8,1,0,1,8,1,2.6,8,1,7.8,8,1,0,1,8,1,1001.6,8,1,0.2,0,8,1
2020/3/15,7.9,8,1,2.0,0,8,1,17.51,8,1,0,1,8,1,3.3,8,1,7.0,8,1,0,1,8,1,1000.4,8,1,7.7,0,8,1
2020/3/16,5.9,8,1,2.0,0,8,1,19.14,8,1,0,1,8,1,5.5,8,1,4.5,8,1,0,1,8,1,1005.0,8,1,7.2,0,8,1
2020/3/17,7.2,8,1,0,1,8,1,21.89,8,1,0,1,8,1,2.0,8,1,0.8,8,1,0,1,8,1,1010.7,8,1,11.3,0,8,1
2020/3/18,11.9,8,1,0.0,0,8,1,20.43,8,1,0,1,8,1,2.6,8,1,3.5,8,1,0,1,8,1,1008.7,8,1,8.5,0,8,1
2020/3/19,13.7,8,1,1.0,0,8,1,19.27,8,1,0,1,8,1,2.8,8,1,4.3,8,1,0,1,8,1,1003.7,8,1,8.3,0,8,1
2020/3/20,11.0,8,1,0.0,0,8,1,13.89,8,1,0,1,8,1,5.5,8,1,5.0,8,1,0,1,8,1,1003.2,8,1,5.9,0,8,1
2020/3/21,12.3,8,1,0,1,8,1,22.08,8,1,0,1,8,1,1.7,8,1,0.5,8,1,0,1,8,1,1007.9,8,1,11.1,0,8,1
2020/3/22,14.5,8,1,0,1,8,1,14.32,8,1,0,1,8,1,2.8,8,1,8.5,8,1,0,1,8,1,1004.1,8,1,5.5,0,8,1
2020/3/23,11.8,8,1,0.0,0,8,1,23.92,8,1,0,1,8,1,5.5,8,1,0.0,8,1,0,1,8,1,1005.0,8,1,11.5,0,8,1
2020/3/24,8.5,8,1,0,1,8,1,21.58,8,1,0,1,8,1,6.2,8,1,2.0,8,1,0,1,8,1,1011.0,8,1,10.2,0,8,1
2020/3/25,10.0,8,1,0,1,8,1,24.43,8,1,0,1,8,1,2.8,8,1,2.5,8,1,0,1,8,1,1014.7,8,1,11.8,0,8,1
2020/3/26,14.3,8,1,0,1,8,1,23.02,8,1,0,1,8,1,1.8,8,1,7.8,8,1,0,1,8,1,1014.7,8,1,10.9,0,8,1
2020/3/27,13.3,8,1,10.5,0,8,1,2.44,8,1,0,1,8,1,1.6,8,1,10.0,8,1,0,1,8,1,1010.4,8,1,0.0,0,8,1
2020/3/28,13.9,8,1,6.0,0,8,1,9.09,8,1,0,1,8,1,3.8,8,1,10.0,8,1,0,1,8,1,1005.5,8,1,1.8,0,8,1
2020/3/29,9.8,8,1,26.5,0,8,1,12.97,8,1,0,1,8,1,3.9,8,1,10.0,8,1,0,1,8,1,1008.9,8,1,1.7,0,8,1
2020/3/30,9.8,8,1,1.5,0,8,1,4.63,8,1,0,1,8,1,1.3,8,1,10.0,8,1,0,1,8,1,1014.3,8,1,0.0,0,8,1
2020/3/31,11.7,8,1,0.5,0,8,1,4.72,8,1,0,1,8,1,1.6,8,1,10.0,8,1,0,1,8,1,1012.7,8,1,0.1,0,8,1
2020/4/1,13.6,8,1,22.0,0,8,1,5.30,8,1,0,1,8,1,2.7,8,1,10.0,8,1,0,1,8,1,998.7,8,1,0.1,0,8,1
2020/4/2,11.7,8,1,0.0,0,8,1,22.31,8,1,0,1,8,1,6.7,8,1,1.0,8,1,0,1,8,1,1006.4,8,1,10.6,0,8,1
2020/4/3,12.0,8,1,0,1,8,1,21.20,8,1,0,1,8,1,2.3,8,1,7.3,8,1,0,1,8,1,1013.9,8,1,9.7,0,8,1
2020/4/4,14.4,8,1,0,1,8,1,23.82,8,1,0,1,8,1,2.7,8,1,3.8,8,1,0,1,8,1,1008.6,8,1,11.5,0,8,1
2020/4/5,10.4,8,1,0,1,8,1,25.55,8,1,0,1,8,1,6.7,8,1,3.5,8,1,0,1,8,1,1008.5,8,1,10.5,0,8,1
2020/4/6,11.4,8,1,0,1,8,1,25.71,8,1,0,1,8,1,5.4,8,1,0.8,8,1,0,1,8,1,1010.4,8,1,12.2,0,8,1
2020/4/7,12.7,8,1,0,1,8,1,24.22,8,1,0,1,8,1,2.3,8,1,5.3,8,1,0,1,8,1,1007.6,8,1,11.0,0,8,1
2020/4/8,14.5,8,1,0.0,0,8,1,23.53,8,1,0,1,8,1,3.1,8,1,3.5,8,1,0,1,8,1,1007.0,8,1,11.5,0,8,1
2020/4/9,13.9,8,1,0,1,8,1,25.72,8,1,0,1,8,1,4.4,8,1,1.0,8,1,0,1,8,1,1010.9,8,1,12.1,0,8,1
2020/4/10,11.3,8,1,0,1,8,1,26.40,8,1,0,1,8,1,6.4,8,1,1.3,8,1,0,1,8,1,1012.9,8,1,11.6,0,8,1
2020/4/11,11.5,8,1,0,1,8,1,25.41,8,1,0,1,8,1,3.1,8,1,8.3,8,1,0,1,8,1,1011.7,8,1,10.9,0,8,1
2020/4/12,10.7,8,1,7.5,0,8,1,8.80,8,1,0,1,8,1,2.5,8,1,10.0,8,1,0,1,8,1,1003.9,8,1,0.3,0,8,1
2020/4/13,10.9,8,1,28.5,0,8,1,4.29,8,1,0,1,8,1,3.9,8,1,10.0,8,1,0,1,8,1,985.6,8,1,0.0,0,8,1
2020/4/14,12.3,8,1,0,1,8,1,27.23,8,1,0,1,8,1,6.6,8,1,0.0,8,1,0,1,8,1,1001.6,8,1,12.4,0,8,1
2020/4/15,14.3,8,1,0,1,8,1,23.37,8,1,0,1,8,1,3.0,8,1,8.3,8,1,0,1,8,1,1006.9,8,1,11.0,0,8,1
2020/4/16,15.6,8,1,0,1,8,1,21.83,8,1,0,1,8,1,2.8,8,1,5.8,8,1,0,1,8,1,1008.7,8,1,9.8,0,8,1
2020/4/17,14.9,8,1,7.0,0,8,1,14.87,8,1,0,1,8,1,2.7,8,1,10.0,8,1,0,1,8,1,1014.8,8,1,3.6,0,8,1
2020/4/18,14.4,8,1,23.0,0,8,1,6.59,8,1,0,1,8,1,4.5,8,1,9.8,8,1,0,1,8,1,1003.0,8,1,1.5,0,8,1
