É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/02/15 23:56:00

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),çáåvëSìVì˙éÀó (MJ/áu),çáåvëSìVì˙éÀó (MJ/áu),çáåvëSìVì˙éÀó (MJ/áu),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœâ_ó (10ï™î‰),ïΩãœâ_ó (10ï™î‰),ïΩãœâ_ó (10ï™î‰),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ïΩãœåªínãCà≥(hPa),ïΩãœåªínãCà≥(hPa),ïΩãœåªínãCà≥(hPa),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ
2020/1/1,-5.8,8,1,2.5,0,8,1,3.44,8,1,6,0,8,1,1.8,8,1,9.8,8,1,5,0,8,1,1009.3,8,1,0.2,0,8,1
2020/1/2,-4.0,8,1,0.0,0,8,1,4.63,8,1,4,0,8,1,2.3,8,1,7.5,8,1,0,1,8,1,1011.1,8,1,1.2,0,8,1
2020/1/3,-2.5,8,1,0.5,0,8,1,5.36,8,1,4,0,8,1,3.4,8,1,9.8,8,1,1,0,8,1,1008.6,8,1,1.6,0,8,1
2020/1/4,-5.0,8,1,1.5,0,8,1,7.32,8,1,6,0,8,1,3.4,8,1,6.8,8,1,2,0,8,1,1010.4,8,1,5.2,0,8,1
2020/1/5,-4.7,8,1,2.0,0,8,1,4.51,8,1,8,0,8,1,3.6,8,1,5.8,8,1,4,0,8,1,1015.0,8,1,2.2,0,8,1
2020/1/6,-0.9,8,1,1.5,0,8,1,4.88,8,1,7,0,8,1,7.1,8,1,9.3,8,1,2,0,8,1,1019.6,8,1,1.1,0,8,1
2020/1/7,-0.9,8,1,1.5,0,8,1,5.10,8,1,8,0,8,1,1.7,8,1,6.8,8,1,1,0,8,1,1023.0,8,1,0.3,0,8,1
2020/1/8,-2.7,8,1,2.0,0,8,1,1.58,8,1,9,0,8,1,1.8,8,1,10.0,8,1,2,0,8,1,1008.1,8,1,0.0,0,8,1
2020/1/9,-1.6,8,1,0,1,8,1,6.09,8,1,9,0,8,1,3.3,8,1,5.5,8,1,0,1,8,1,1009.5,8,1,4.4,0,8,1
2020/1/10,-2.7,8,1,0,1,8,1,8.93,8,1,8,0,8,1,1.2,8,1,4.8,8,1,0,1,8,1,1015.7,8,1,8.2,0,8,1
2020/1/11,-1.6,8,1,0.0,0,8,1,5.18,8,1,8,0,8,1,1.7,8,1,7.5,8,1,0,1,8,1,1009.4,8,1,1.9,0,8,1
2020/1/12,-1.3,8,1,0.0,0,8,1,3.94,8,1,8,0,8,1,1.6,8,1,10.0,8,1,0,1,8,1,1007.5,8,1,0.8,0,8,1
2020/1/13,-2.5,8,1,0.0,0,8,1,8.65,8,1,8,0,8,1,2.1,8,1,8.0,8,1,0,1,8,1,1010.5,8,1,6.1,0,8,1
2020/1/14,-2.7,8,1,0.0,0,8,1,5.79,8,1,8,0,8,1,1.4,8,1,8.5,8,1,0,1,8,1,1017.7,8,1,2.0,0,8,1
2020/1/15,-3.4,8,1,1.0,0,8,1,5.74,8,1,16,0,8,1,1.4,8,1,9.8,8,1,9,0,8,1,1017.5,8,1,1.5,0,8,1
2020/1/16,-2.9,8,1,1.5,0,8,1,8.00,8,1,20,0,8,1,1.9,8,1,7.0,8,1,4,0,8,1,1014.9,8,1,6.0,0,8,1
2020/1/17,-2.7,8,1,0.0,0,8,1,5.70,8,1,14,0,8,1,2.2,8,1,6.8,8,1,0,1,8,1,1015.2,8,1,3.3,0,8,1
2020/1/18,-3.7,8,1,0,1,8,1,7.74,8,1,12,0,8,1,1.3,8,1,7.3,8,1,0,1,8,1,1016.3,8,1,4.2,0,8,1
2020/1/19,-3.2,8,1,0,1,8,1,7.89,8,1,10,0,8,1,1.4,8,1,9.5,8,1,0,1,8,1,1011.5,8,1,5.6,0,8,1
2020/1/20,-0.8,8,1,14.0,0,8,1,3.12,8,1,35,0,8,1,3.1,8,1,10.0,8,1,26,0,8,1,1005.8,8,1,0.0,0,8,1
2020/1/21,-2.2,8,1,6.0,0,8,1,7.71,8,1,39,0,8,1,4.9,8,1,9.5,8,1,8,0,8,1,1014.5,8,1,3.3,0,8,1
2020/1/22,0.1,8,1,0.5,0,8,1,8.25,8,1,34,0,8,1,2.7,8,1,8.5,8,1,0,1,8,1,1019.4,8,1,4.5,0,8,1
2020/1/23,0.3,8,1,0.5,0,8,1,9.94,8,1,28,0,8,1,2.6,8,1,3.3,8,1,0,1,8,1,1017.8,8,1,8.5,0,8,1
2020/1/24,-3.9,8,1,2.5,0,8,1,5.50,8,1,30,0,8,1,5.2,8,1,10.0,8,1,7,0,8,1,1016.9,8,1,1.4,0,8,1
2020/1/25,-5.4,8,1,4.5,0,8,1,7.23,8,1,34,0,8,1,4.7,8,1,9.8,8,1,6,0,8,1,1024.1,8,1,3.7,0,8,1
2020/1/26,-5.0,8,1,1.5,0,8,1,9.10,8,1,33,0,8,1,2.6,8,1,5.8,8,1,2,0,8,1,1023.1,8,1,5.2,0,8,1
2020/1/27,-1.0,8,1,0.0,0,8,1,8.78,8,1,29,0,8,1,4.1,8,1,6.8,8,1,0,1,8,1,1023.8,8,1,4.1,0,8,1
2020/1/28,-2.0,8,1,0,1,8,1,9.49,8,1,26,0,8,1,3.7,8,1,7.5,8,1,0,1,8,1,1023.4,8,1,7.3,0,8,1
2020/1/29,0.4,8,1,5.0,0,8,1,3.09,8,1,28,0,8,1,2.8,8,1,10.0,8,1,3,0,8,1,1013.0,8,1,0.0,0,8,1
2020/1/30,2.5,8,1,1.0,0,8,1,3.50,8,1,26,0,8,1,4.2,8,1,10.0,8,1,0,1,8,1,996.2,8,1,0.0,0,8,1
2020/1/31,1.2,8,1,2.0,0,8,1,3.32,8,1,25,0,8,1,4.5,8,1,10.0,8,1,3,0,8,1,999.6,8,1,0.0,0,8,1
2020/2/1,-1.2,8,1,0,1,8,1,7.78,8,1,24,0,8,1,3.8,8,1,9.3,8,1,0,1,8,1,1011.1,8,1,2.7,0,8,1
2020/2/2,-1.7,8,1,0.0,0,8,1,6.35,8,1,23,0,8,1,1.6,8,1,9.8,8,1,0,1,8,1,1016.0,8,1,2.1,0,8,1
2020/2/3,-3.1,8,1,8.0,0,8,1,2.78,8,1,37,0,8,1,2.2,8,1,10.0,8,1,14,0,8,1,1012.4,8,1,0.0,0,8,1
2020/2/4,-5.1,8,1,6.5,0,8,1,9.87,8,1,48,0,8,1,4.2,8,1,7.0,8,1,11,0,8,1,1015.4,8,1,5.6,0,8,1
2020/2/5,-6.8,8,1,26.0,0,8,1,8.50,8,1,79,0,8,1,1.9,8,1,9.8,8,1,41,0,8,1,1011.7,8,1,4.9,0,8,1
2020/2/6,-7.2,8,1,5.5,0,8,1,7.49,8,1,79,0,8,1,3.0,8,1,9.8,8,1,1,0,8,1,1016.7,8,1,3.0,0,8,1
2020/2/7,-4.3,8,1,4.0,0,8,1,7.44,8,1,64,0,8,1,2.3,8,1,8.0,8,1,7,0,8,1,1016.6,8,1,2.1,0,8,1
2020/2/8,-6.8,8,1,3.0,0,8,1,9.07,8,1,68,0,8,1,2.8,8,1,6.0,8,1,5,0,8,1,1012.7,8,1,4.6,0,8,1
2020/2/9,-10.2,8,1,8.5,0,8,1,12.04,8,1,71,0,8,1,1.6,8,1,7.5,8,1,14,0,8,1,1013.5,8,1,7.1,0,8,1
2020/2/10,-5.7,8,1,5.0,0,8,1,6.64,8,1,72,0,8,1,2.8,8,1,10.0,8,1,5,0,8,1,1013.1,8,1,0.1,0,8,1
2020/2/11,-3.3,8,1,1.5,0,8,1,10.02,8,1,69,0,8,1,1.4,8,1,5.5,8,1,4,0,8,1,1020.6,8,1,4.6,0,8,1
2020/2/12,2.0,8,1,0.0,0,8,1,6.58,8,1,62,0,8,1,2.3,8,1,9.8,8,1,0,1,8,1,1015.7,8,1,1.4,0,8,1
2020/2/13,3.3,8,1,0,1,8,1,8.99,8,1,52,0,8,1,1.4,8,1,7.0,8,1,0,1,8,1,1010.3,8,1,3.9,0,8,1
2020/2/14,2.3,8,1,0.5,0,8,1,4.43,8,1,49,0,8,1,3.1,8,1,10.0,8,1,0,1,8,1,1012.9,8,1,0.7,0,8,1
2020/2/15,-0.9,8,1,5.5,0,8,1,9.56,8,1,52,0,8,1,4.7,8,1,9.8,8,1,7,0,8,1,1017.3,8,1,4.1,0,8,1
2020/2/16,-4.2,8,1,9.0,0,8,1,5.91,8,1,58,0,8,1,1.9,8,1,10.0,8,1,10,0,8,1,1014.4,8,1,0.0,0,8,1
